CODIGO;NOMBRE;INSTITUCION;DIRECCION;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;COMUNIDAD_AUTONOMA;PAIS;TRANSPORTE;AÑO_FUNDACION;HORARIO;TIPO_ACCESO;NOTAS_ACCESO;TIPO_BIBLIOTECA;TIPO_DEPENDENCIA;PRESTAMO_INTERBIBLIOTECARIO;CATALOGOS_IMPRESOS;OBSERVACIONES
X41000101;Instituto Cervantes. Biblioteca (Londres, Reino Unido);Instituto Cervantes;15-19 Devereux Court;WC2R 3JJ;Londres;;;Reino Unido;;;;Acceso libre;;Especializada;Administración pública central
010230082;Biblioteca Pública Municipal (Elvillar, Álava);Ayuntamiento de Elvillar;Plaza de Santa María 10;01309;Elvillar/Bilar;Álava;País Vasco;España;;1988;"Lunes, Miércoles y Viernes de 17-18'30; Martes y Jueves de 16-17'30";Acceso libre;;General/Pública;Administración local municipal
010280035;Biblioteca Pública Municipal (Labastida, Álava);Ayuntamiento de Labastida;Plaza de la Paz s/n;01330;Labastida;Álava;País Vasco;España;;1966;Lunes-viernes de 19-21;Acceso libre;;General/Pública;Administración local municipal
010280095;Biblioteca Pública Municipal de Salinillas de Buradon (Labastida, Álava);Ayuntamiento de Labastida;Avenida de Salinillas de Buradon s/n;01330;Labastida;Álava;País Vasco;España;;1972;;Acceso libre;;General/Pública;Administración local municipal
010280168;Colegio Público (Labastida, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Florida s/n;01330;Labastida;Álava;País Vasco;España;;1967;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010310029;Biblioteca Pública Municipal (Laguardia, Álava);Ayuntamiento de Laguardia;Mayor 70;01300;Laguardia;Álava;País Vasco;España;;1920;Lunes-viernes de 17-19'30;Acceso libre;;General/Pública;Administración local municipal
010310050;Instituto de Educación Secundaria. IES Samaniego (Laguardia, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Paseo Sancho Abarca 3;01300;Laguardia;Álava;País Vasco;España;;1950;;Acceso restringido;para alumnos y profesores;Escolar;Administración autonómica
010310108;Hospital de Leza (Laguardia, Álava). Biblioteca;Hospital de Leza;Ctra. de Logroño-Vitoria Km. 59;01300;Laguardia;Álava;País Vasco;España;;1935;Lunes-viernes de 8-15;Acceso restringido;para el personal del centro;Especializada;Administración autonómica
010310122;Iglesia de Santa María de los Reyes (Laguardia, Álava). Biblioteca;Iglesia de Santa María de los Reyes;Mayor 1;01300;Laguardia;Álava;País Vasco;España;;1987;;Acceso restringido;;Especializada;Iglesia
010310169;Colegio Público Víctor Tapia (Laguardia, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Plaza de Víctor Tapia s/n;01300;Laguardia;Álava;País Vasco;España;;1925;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010320086;Biblioteca Pública Municipal (Lanciego, Álava);Ayuntamiento de Lanciego;San Antonio 6-10;01308;Lanciego/Lantziego;Álava;País Vasco;España;;1983;Lunes-Jueves de 17-20, Viernes de 16-18;Acceso libre;;General/Pública;Administración local municipal
010360013;Instituto de Educación Secundaria. IES Canciller Ayala - Gregorio Marañón (Llodio, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Zumalacarregui 34;01400;Laudio/Llodio;Álava;País Vasco;España;;1975;;Acceso restringido;para alumnos;Escolar;Administración autonómica
010360031;Biblioteca Pública Municipal (Llodio, Álava);Ayuntamiento de Llodio;Lamuza 19;01400;Laudio/Llodio;Álava;País Vasco;España;;1981;Lunes-viernes de 9-14 y de 16-21, sábados de 9-14;Acceso libre;;General/Pública;Administración local municipal
010360170;Colegio La Milagrosa (Llodio, Álava). Biblioteca;Colegio La Milagrosa;Camino Letziaga 2;01400;Laudio/Llodio;Álava;País Vasco;España;;1964;;Acceso restringido;para profesores y alumnos;Escolar;Entidad privada
010360171;Colegio Público Fabián Legorburu (Llodio, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Avda. Areta 45;01400;Laudio/Llodio;Álava;País Vasco;España;;1940;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010360173;Colegio Público Lateorro (Llodio, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Lateorro 8;01400;Laudio/Llodio;Álava;País Vasco;España;;2000;Lunes-viernes de 9'30-13 y de 15-17. Horario extraescolar: lunes-viernes de 13-15 y de 17-18'30;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010360174;Colegio Público Lamuza - Sta. Teresa (Llodio, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Granjabide 2;01400;Laudio/Llodio;Álava;País Vasco;España;;1967;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010360176;Ikastola Laudio (Llodio, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Motxotekale s/n;01400;Laudio/Llodio;Álava;País Vasco;España;;1971;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010360251;Centro Municipal de Formación Profesional (Llodio, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;El Carmen 17;01400;Laudio/Llodio;Álava;País Vasco;España;;1972;;Acceso restringido;para profesores y alumnos;Escolar;Administración local municipal
010370030;Biblioteca Pública Municipal (Arraia-Maeztu, Álava);Ayuntamiento de Arraia-Maeztu;La Estación 13;01120;Arraia-Maeztu;Álava;País Vasco;España;;1960;Martes y jueves de 17-18'30, sábados de 11'30-13'30;Acceso libre;;General/Pública;Administración local municipal
010370178;Colegio Público Comarcal (Arraia-Maeztu, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Frontón s/n;01120;Arraia-Maeztu;Álava;País Vasco;España;;1967;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010390087;Biblioteca Pública Municipal (Moreda de Álava, Álava);Ayuntamiento de Moreda de Alava;Las Cuevas 2;01322;Moreda de Álava;Álava;País Vasco;España;;1987;Lunes-viernes de 18-20;Acceso libre;;General/Pública;Administración local municipal
010420041;Biblioteca Pública Municipal (Okondo, Álava);Ayuntamiento de Okondo;Plaza de la Iglesia s/n;01409;Okondo;Álava;País Vasco;España;;1970;Lunes-viernes de 17-19;Acceso libre;;General/Pública;Administración local municipal
010430032;Biblioteca Pública Municipal (Oyón-Oion, Álava);Ayuntamiento de Oyón-Oion;Fueros s/n;01320;Oyón-Oion;Álava;País Vasco;España;;1983;Lunes-viernes de 16-20'30;Acceso libre;;General/Pública;Administración local municipal
010430179;Colegio Público Ramiro de Maeztu (Oyón, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Fueros s/n;01320;Oyón-Oion;Álava;País Vasco;España;;1972;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010440016;Biblioteca Pública Municipal (Peñacerrada, Álava);Ayuntamiento de Peñacerrada;Plaza Fray Jacinto 2;01211;Peñacerrada-Urizaharra;Álava;País Vasco;España;;1965;Verano: lunes-viernes de 12-14. Invierno: lunes-sábados de 13-14;Acceso libre;;General/Pública;Administración local municipal
010510033;Biblioteca Pública Municipal (Salvatierra/Agurain, Álava);Ayuntamiento de Salvatierra/Agurain;Zapatari 35;01200;Salvatierra/Agurain;Álava;País Vasco;España;;1980;Lunes-viernes de 10-14 y de 16'30-20;Acceso libre;;General/Pública;Administración local municipal
010510123;Convento de San Pedro (Salvatierra/Agurain, Álava). Biblioteca;Convento de San Pedro de Salvatierra/Agurain;Carnicería 2;01200;Salvatierra/Agurain;Álava;País Vasco;España;;1972;;Acceso restringido;;Especializada;Iglesia
010510180;Colegio Corazón de María (Salvatierra/Agurain, Álava). Biblioteca;Hermanas de la Providencia de Salvatierra/Agurain;Barrio de San Jorge 17;01200;Salvatierra/Agurain;Álava;País Vasco;España;;1947;;Acceso restringido;para profesores y alumnos;Escolar;Entidad privada
010510182;Escuela Pública Pedro Lope de Larrea (Salvatierra/Agurain, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Aniturri 1;01200;Salvatierra/Agurain;Álava;País Vasco;España;;1984;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica;;;Fusionada con la Escuela Marcos Sagasti
010520291;Biblioteca Pública Municipal (Samaniego, Álava);Ayuntamiento de Samaniego;Las Escuelas s/n;01307;Samaniego;Álava;País Vasco;España;;1990;Lunes-viernes de 16-20;Acceso libre;;General/Pública;Administración local municipal
010530300;Biblioteca Pública Municipal de Ordoñana  (San Millán, Álava);Ayuntamiento de San Millán;Andía 9. Ordoñana;01208;San Millán/Donemiliaga;Álava;País Vasco;España;;;;Acceso libre;;General/Pública;Administración local municipal
