FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
18/09/2012;DE 21:00 A 21:59;MARTES;CENTRO                        ;CALLE DE CARRETAS NUM                                                                               ;29;2012/8264;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
18/09/2012;DE 21:00 A 21:59;MARTES;HORTALEZA                     ;CALLE DE MANUEL POMBO ANGULO                                                                        ;0;2012/8282;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
19/09/2012;DE 9:00 A 9:59;MIERCOLES;MORATALAZ                     ;CALLE DE LA ENCOMIENDA DE PALACIOS NUM                                                              ;139;2012/8273;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
20/09/2012;DE 12:00 A 12:59;JUEVES;RETIRO                        ;CALLE DE JUAN ESPLANDIU - CALLE DEL ALCALDE SAINZ DE BARANDA                                        ;0;2012/8324;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 50 A 54 AÑOS
20/09/2012;DE 13:00 A 13:59;JUEVES;PUENTE DE VALLECAS            ;AVENIDA DE ENTREVIAS - CAMINO DE LAS HORMIGUERAS                                                    ;          ;2012/8326;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
20/09/2012;DE 19:00 A 19:59;JUEVES;PUENTE DE VALLECAS            ;CALLE DE LA SIERRA DE ALQUIFE - CALLE DEL PUERTO DE ARLABAN                                         ;0;2012/8350;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
20/09/2012;DE 23:00 A 23:59;JUEVES;CHAMBERI                      ;PLAZA DE SAN JUAN DE LA CRUZ - CALLE DE RIOS ROSAS                                                  ;0;2012/8380;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
21/09/2012;DE 13:00 A 13:59;VIERNES;MONCLOA-ARAVACA               ;CALLE DE JOSE ANTONIO NOVAIS                                                                        ;0;2012/8364;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
22/09/2012;DE 19:00 A 19:59;SABADO;CIUDAD LINEAL                 ;CALLE DE ALCALA - CALLE DE RAQUEL MELLER                                                            ;0;2012/8689;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
23/09/2012;DE 10:00 A 10:59;DOMINGO;USERA                         ;AVENIDA DE LOS POBLADOS NUM                                                                         ;144;2012/8577;NO;NO;NO;NO;SI;NO;NO;NO;NO;SI;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;NO ASIGNADA;DE 6 A 9 AÑOS 
23/09/2012;DE 10:00 A 10:59;DOMINGO;USERA                         ;AVENIDA DE LOS POBLADOS NUM                                                                         ;144;2012/8577;NO;NO;NO;NO;SI;NO;NO;NO;NO;SI;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 50 A 54 AÑOS
23/09/2012;DE 18:00 A 18:59;DOMINGO;FUENCARRAL-EL PARDO           ;CARRETERA DE FUENCARRAL A HORTALEZA                                                                 ;0;2012/8421;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
24/09/2012;DE 13:00 A 13:59;LUNES;SALAMANCA                     ;CALLE DE MARIA DE MOLINA NUM                                                                        ;4;2012/8453;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
25/09/2012;DE 7:00 A 7:59;MARTES;CHAMARTIN                     ;CALLE DE VINAROZ - CALLE DE ARAGON                                                                  ;0;2012/8654;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 6 A 9 AÑOS 
25/09/2012;DE 13:00 A 13:59;MARTES;MORATALAZ                     ;CALLE DEL ALCALDE GARRIDO JUARISTI - CALLE DE FELIX RODRIGUEZ DE LA FUENTE                          ;0;2012/8494;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 55 A 59 AÑOS
26/09/2012;DE 19:00 A 19:59;MIERCOLES;CIUDAD LINEAL                 ;AVENIDA DE DAROCA NUM                                                                               ;90;2012/8777;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 18 A 20 AÑOS
26/09/2012;DE 21:00 A 21:59;MIERCOLES;CENTRO                        ;CALLE DEL HOSPITAL - CALLE DE SANTA ISABEL                                                          ;0;2012/8711;NO;NO;NO;NO;SI;NO;NO;NO;NO;SI;NO;NO;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 60 A 64 AÑOS
28/09/2012;DE 21:00 A 21:59;VIERNES;ARGANZUELA                    ;CALLE DE MARTIN DE VARGAS - CALLE DEL LABRADOR                                                      ;0;2012/8752;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;2;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 10 A 14 AÑOS
28/09/2012;DE 21:00 A 21:59;VIERNES;ARGANZUELA                    ;CALLE DE MARTIN DE VARGAS - CALLE DEL LABRADOR                                                      ;0;2012/8752;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;2;COLISIÓN DOBLE                          ;BICICLETA                               ;VIAJERO                                 ;HOMBRE;HL                                      ;DE 10 A 14 AÑOS
28/09/2012;DE 23:00 A 23:59;VIERNES;SAN BLAS                      ;PASEO DE GINEBRA - CALLE DE SUECIA                                                                  ;0;2012/8638;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 30 A 34 ANOS
29/09/2012;DE 14:00 A 14:59;SABADO;PUENTE DE VALLECAS            ;CALLE DE SIERRA DE CUERDA LARGA NUM                                                                 ;13;2012/8697;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 10 A 14 AÑOS
29/09/2012;DE 22:00 A 22:59;SABADO;CHAMARTIN                     ;CALLE DE CARTAGENA NUM                                                                              ;108;2012/8790;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
01/10/2012;DE 17:00 A 17:59;LUNES;CHAMBERI                      ;CALLE DE BRAVO MURILLO NUM                                                                          ;63;2012/8750;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
01/10/2012;DE 20:00 A 20:59;LUNES;VILLAVERDE                    ;CALLE DE CAMPOS IBAÑEZ NUM                                                                          ;26;2012/8706;NO;NO;NO;NO;SI;NO;NO;NO;NO;SI;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HG                                      ;DE 50 A 54 AÑOS
02/10/2012;DE 20:00 A 20:59;MARTES;HORTALEZA                     ;CAMINO DEL ARROYO DE VALDEBEBAS - AVENIDA DE NICETO ALCALA ZAMORA                                   ;0;2012/8781;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
03/10/2012;DE 15:00 A 15:59;MIERCOLES;CENTRO                        ;CALLE  GRAN VIA - PLAZA DE ESPAÑA                                                                   ;0;2012/8792;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 21 A 24 AÑOS
03/10/2012;DE 19:00 A 19:59;MIERCOLES;MONCLOA-ARAVACA               ;CARRETERA DE LA CIUDAD UNIVERSITARIA - CAMINO DE VALDEZA                                            ;0;2012/8782;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;2;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 55 A 59 AÑOS
04/10/2012;DE 12:00 A 12:59;JUEVES;CHAMARTIN                     ;CALLE DE VICTOR ANDRES BELAUNDE NUM                                                                 ;52;2012/8831;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
05/10/2012;DE 10:00 A 10:59;VIERNES;VILLAVERDE                    ;PASEO DE LOS FERROVIARIOS NUM                                                                       ;67;2012/8935;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
05/10/2012;DE 14:00 A 14:59;VIERNES;CARABANCHEL                   ;RONDA DE DON BOSCO NUM                                                                              ;14;2012/9036;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 15 A 17 AÑOS
05/10/2012;DE 19:00 A 19:59;VIERNES;RETIRO                        ;CALLE DE ALCALA - PASEO DE RECOLETOS                                                                ;0;2012/8863;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 30 A 34 ANOS
06/10/2012;DE 21:00 A 21:59;SABADO;CHAMBERI                      ;CALLE DEL GENERAL ALVAREZ DE CASTRO - CALLE DE VIRIATO                                              ;0;2012/8913;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
07/10/2012;DE 11:00 A 11:59;DOMINGO;LATINA                        ;CALLE DE SESEÑA NUM                                                                                 ;87;2012/8906;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;ATROPELLO                               ;BICICLETA                               ;CONDUCTOR;HOMBRE;IL                                      ;DE 50 A 54 AÑOS
