Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;Longitud;Latitud;Direccion
120;441058,14;4472722,16;23-06-14;02  ARGANZUELA;02-06 PALOS DE MOGUER;PALOS DE LA FRONTERA, CALLE, DE;27;BiciMAD;24;-36.946.097;404.030.247;PALOS DE LA FRONTERA, CALLE, DE, 27
121;440718,1;4472592,85;23-06-14;02  ARGANZUELA;02-06 PALOS DE MOGUER;SANTA MARIA DE LA CABEZA, PASEO, DE;58;BiciMAD;24;-36.986.046;404.018.356;SANTA MARIA DE LA CABEZA, PASEO, DE, 58
122;440941,06;4475664,68;23-06-14;07  CHAMBERÍ;07-04 ALMAGRO;SANTA ENGRACIA, CALLE, DE;16;BiciMAD;24;-36.962.626;40.429.524;SANTA ENGRACIA, CALLE, DE, 16
123;439482,59;4475800,04;23-06-14;07  CHAMBERÍ;07-01 GAZTAMBIDE;GUZMAN EL BUENO, CALLE, DE;2;BiciMAD;24;-37.134.685;404.306.386;GUZMAN EL BUENO, CALLE, DE, 2
124;440683,01;4475810,28;01-07-15;07  CHAMBERÍ;07-03 TRAFALGAR;MANUEL SILVELA, CALLE, DE;18;BiciMAD;24;-36.993.182;404.308.173;MANUEL SILVELA, CALLE, DE, 18
125;441066,99;4476306,47;01-07-15;07  CHAMBERÍ;07-04 ALMAGRO;FERNANDEZ DE LA HOZ, CALLE, DE;29;BiciMAD;24;-36.948.375;404.353.145;FERNANDEZ DE LA HOZ, CALLE, DE, 29
126;440480,69;4476228,15;01-07-15;07  CHAMBERÍ;07-03 TRAFALGAR;GENERAL ALVAREZ DE CASTRO, CALLE, DEL;4;BiciMAD;24;-37.017.424;404.345.672;GENERAL ALVAREZ DE CASTRO, CALLE, DEL, 4
127;439915,53;4476159,48;01-07-15;07  CHAMBERÍ;07-02 ARAPILES;FERNANDO EL CATOLICO, CALLE, DE;19;BiciMAD;24;-37.083.987;40.433.908;FERNANDO EL CATOLICO, CALLE, DE, 19
128;439310,29;4476734,2;01-07-15;07  CHAMBERÍ;07-01 GAZTAMBIDE;CEA BERMUDEZ, CALLE, DE;59;BiciMAD;24;-37.155.889;404.390.413;CEA BERMUDEZ, CALLE, DE, 59
129;440776,2;4476658,18;01-07-15;07  CHAMBERÍ;07-05 RÍOS ROSAS;JOSE ABASCAL, CALLE, DE;33;BiciMAD;24;-36.982.986;404.384.622;JOSE ABASCAL, CALLE, DE, 33
130;440485,91;4477025,58;21-06-17;07  CHAMBERÍ;07-05 RÍOS ROSAS;SANTA ENGRACIA, CALLE, DE;129;BiciMAD;18;-37.017.555;404.417.512;SANTA ENGRACIA, CALLE, DE, 129
131;440293,58;4477026,74;01-07-15;07  CHAMBERÍ;07-05 RÍOS ROSAS;BRAVO MURILLO, CALLE, DE;44;BiciMAD;24;-37.040.233;404.417.479;BRAVO MURILLO, CALLE, DE, 44
132;440334,34;4477541,61;01-07-15;07  CHAMBERÍ;07-05 RÍOS ROSAS;SANTA ENGRACIA, CALLE, DE;168;BiciMAD;24;-37.035.911;404.463.889;SANTA ENGRACIA, CALLE, DE, 168
133;440637,08;4477625,61;01-07-15;06  TETUÁN;06-02 CUATRO CAMINOS;DULCINEA, CALLE, DE;3;BiciMAD;24;-37.000.292;404.471.673;DULCINEA, CALLE, DE, 3
134;441017,64;4477274,53;01-07-15;07  CHAMBERÍ;07-05 RÍOS ROSAS;MARIA DE GUZMAN, CALLE, DE;58;BiciMAD;24;-36.955.092;404.440.317;MARIA DE GUZMAN, CALLE, DE, 58
135;441237,58;4476989,99;01-04-15;07  CHAMBERÍ;07-05 RÍOS ROSAS;SAN JUAN DE LA CRUZ, PLAZA, DE;S/N;BiciMAD;24;-36.928.896;40.441.484;SAN JUAN DE LA CRUZ, PLAZA, DE, S/N
136;441417,02;4477410,33;01-07-15;05  CHAMARTÍN;05-01 EL VISO;CASTELLANA, PASEO, DE LA;106;BiciMAD;24;-36.908.127;404.452.833;CASTELLANA, PASEO, DE LA, 106
137;441885,33;4477430,27;01-07-15;05  CHAMARTÍN;05-01 EL VISO;REPUBLICA ARGENTINA, PLAZA, DE LA;6;BiciMAD;24;-36.852.925;404.454.958;REPUBLICA ARGENTINA, PLAZA, DE LA, 6
138;441352,15;4477455,81;01-07-15;07  CHAMBERÍ;07-05 RÍOS ROSAS;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;-36.915.818;404.456.884;CASTELLANA, PASEO, DE LA, S/N
139;441442,67;4476752,13;01-07-15;05  CHAMARTÍN;05-01 EL VISO;JOSE GUTIERREZ ABASCAL, CALLE, DE;S/N;BiciMAD;24;-36.904.495;404.393.558;JOSE GUTIERREZ ABASCAL, CALLE, DE, S/N
140;442081,57;4476664,17;01-07-15;05  CHAMARTÍN;05-01 EL VISO;VELAZQUEZ, CALLE, DE;134;BiciMAD;24;-36.829.088;404.386.081;VELAZQUEZ, CALLE, DE, 134
141;441537,59;4476315,08;01-07-15;07  CHAMBERÍ;07-04 ALMAGRO;CASTELLANA, PASEO, DE LA;43;BiciMAD;24;-36.892.902;404.354.253;CASTELLANA, PASEO, DE LA, 43
142;441641,97;4476103,45;01-07-15;04  SALAMANCA;04-06 CASTELLANA;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;-36.880.402;404.335.262;CASTELLANA, PASEO, DE LA, S/N
