Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;* La correspondencia de los códigos se encuentra descrito en la estructura del fichero.
2019S015623;06/03/2019;9:30;PLAZA. CARDENAL CISNEROS / AVDA. COMPLUTENSE;-;VILLA DE VALLECAS;Caída;LLuvia intensa;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;
2019S015708;08/03/2019;21:04;CALL. PRINCIPE CARLOS / CALL. MARIA TUDOR;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;02;
2019S015708;08/03/2019;21:04;CALL. PRINCIPE CARLOS / CALL. MARIA TUDOR;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Pasajero;DE 10 A 14 AÑOS;Mujer;02;
2019S014722;08/03/2019;19:25;AVDA. PARTENON;2;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;
2019S014661;08/03/2019;16:45;PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE;-;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07;
2019S016583;09/03/2019;19:45;CALL. LOPEZ GRASS / AVDA. ALBUFERA;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;06;
2019S015339;10/03/2019;22:00;AVDA. PORTUGAL;1;LATINA;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07;
2019S015263;10/03/2019;19:20;PASEO. ERMITA DEL SANTO / CALL. VIA CARPETANA;-;LATINA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;02;
2019S016088;10/03/2019;17:26;AVDA. INGENIERO EMILIO HERRERA;15;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Mujer;07;
2019S015228;10/03/2019;14:58;CALL. SANTA ADELA;14;HORTALEZA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;03;
2019S015228;10/03/2019;14:58;CALL. SANTA ADELA;14;HORTALEZA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;
2019S015475;11/03/2019;21:30;PLAZA. ESPAÑA / CALL. BAILEN;-;CENTRO;Alcance;;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;;
