NÈMERO CATµLOGO;CATALOGACI‡N PG97;CATALOGACI‡N A 27/07/18;BIC_BIP;DENOMINACI‡N;OBSERVACIONES;VIA_CLASE_TX;VIA_NOMBRE;APP_NUM;APP_CLF;UTMX_ETRS;UTMY_ETRS
32034;Parcial;Descatalogado;;ETSI MONTES - PAB. MADERAS -2;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32087;Parcial;Descatalogado;;INSTITUTO PLURIDISCIPLINAR - CALDERAS;;PASEO;JUAN XXIII;1;;438945,53;4477262,39
34984;Parcial;Ambiental;;;Francisco Alc†ntara, del 13 a 15 B;CALLE;FRANCISCO ALCANTARA;13;;441797,56;4477712,39
34439;Parcial;Ambiental;;;;CALLE;TAMBRE;35;;441691,42;4477654
32262;Parcial;Ambiental;;;;AVENIDA;MONCLOA;3;;439328,53;4477492,78
32144;Parcial;VolumÇtrico;;CMU. ARGENTINO (NTRA. SRA. LUJµN);;CALLE;MARTIN FIERRO;3;;437941,05;4476419,66
32113;Parcial;Descatalogado;;FACULTAD DE BELLAS ARTES AMPLIACION;;CALLE;PINTOR EL GRECO;2;;437753,74;4476770,01
32102;Parcial;Descatalogado;;EUIT AERONµUTICOS;;PLAZA;CARDENAL CISNEROS;2;;438582,17;4476880,36
32099;Parcial;Estructural;;ETSI NA VALES;;AVENIDA;MEMORIA;4;;438559,91;4476714,09
32093;Parcial;VolumÇtrico;;AGENCIA ESPA•OLA DE COOP. INTERN. BIBLIOTECA;;AVENIDA;REYES CATOLICOS;4;;438904,64;4476623,5
32049;Parcial;Descatalogado;;CMU. VACO QUIROGA - NA VE TALLER MATERIALES;;CALLE;LEONARDO PRIETO CASTRO;2;;438984,24;4478109,89
32088;Parcial;Descatalogado;;INSTITUTO PLURIDISCIPLINAR - PET;;PASEO;JUAN XXIII;1;;438945,53;4477262,39
32051;Parcial;Descatalogado;;CC. DE LA EDUCACI‡N - GIMNASIO;;AVENIDA;MORERAS;1;;439059,7;4478141,67
32085;Parcial;Descatalogado;;FUNDACI‡N PABLO VI - RESID. PIO XI;;PASEO;JUAN XXIII;3;;438935,72;4477389,21
32084;Parcial;Descatalogado;;FUNDACI‡N PABLO VI - RESID.PIO XII;;PASEO;JUAN XXIII;3;;438935,72;4477389,21
32083;Parcial;VolumÇtrico;;FUNDACI‡N PABLO VI - EDIF. JUAN XXIII;;PASEO;JUAN XXIII;3;;438935,72;4477389,21
32082;Parcial;VolumÇtrico;;FUNDACI‡N PABLO VI.-EDIF. LE‡N XIII;;PASEO;JUAN XXIII;3;;438935,72;4477389,21
32057;Parcial;Estructural;;FACULTAD CC. DE LA INFORMACI‡N;;AVENIDA;COMPLUTENSE;3;;438279,01;4477476,55
32056;Parcial;VolumÇtrico;;ETSI CAMINOS;;CALLE;PROFESOR ARANGUREN;1;;437893,34;4477701,89
32053;Parcial;Descatalogado;;CC. DE LA EDUCACI‡N - ALMACEN;;AVENIDA;MORERAS;1;;439059,7;4478141,67
32031;Parcial;Estructural;;ETSI MONTES - P AB. CORCHOS;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32092;Parcial;Estructural;;AGENCIA ESPA•OLA DE COOPERACI‡N INTERNACIONAL;;AVENIDA;REYES CATOLICOS;4;;438904,64;4476623,5
30914;Parcial;Singular;;TORRE DE TIRO POL÷GONO DE EXPERIENCIAS;Extremadura, de 374 a 380;PASEO;EXTREMADURA;374;;434264,45;4471532,56
30232;Parcial;Ambiental;;;;CALLE;TOMAS BRETON;28;;441146,51;4472087,12
30151;Parcial;Descatalogado;;;;CALLE;MANUEL LAMELA;3;;437693,81;4470917,14
30061;Parcial;Desaparecido por demolici¢n total;;;;CALLE;ACANTO;11;C;442618,57;4472118,67
29765;Parcial;Ambiental;;;Mar Caspio, de 45 a 49;CALLE;MAR CASPIO;45;;445500,55;4480490,57
29292;Parcial;Ambiental;;;Islas Bermudas, del 30 a 34;CALLE;ISLAS BERMUDAS;30;;441668,64;4482857,77
29148;Parcial;Ambiental;;;;CALLE;NUESTRA SE•ORA DE VALVERDE;28;;441747,5;4482838,07
26810;Parcial;Desaparecido por demolici¢n total;;;Segovia, de 31 A a 31 C;RONDA;SEGOVIA;31;A;439102,23;4473580,52
30233;Parcial;Ambiental;;;;CALLE;TOMAS BRETON;30;;441153,68;4472086,5
32245;Parcial;Ambiental;;;;CALLE;SIERRA;4;;439036,76;4477371,77
29208;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;ELFO;107;;445243,51;4476337,73
32033;Parcial;Descatalogado;;ETSI MONTES - P AB. DASOMETR÷A;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
26480;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;RAIMUNDO LULIO;16;;440735,55;4476020,04
25083;Parcial;Ambiental;;;;CALLE;OQUENDO;10;;441917,09;4476912,69
28274;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;OVIEDO;16;;440597,08;4477822,08
30508;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;LUIS MITJANS;5;;443055,71;4472391,72
25739;Parcial;Ambiental;;;;AVENIDA;CIUDAD DE BARCELONA;63;;442639,43;4472599,14
30908;Parcial;Desaparecido por Demolici¢n Total;;PABELL‡N MU•OZ GRANDES;;PASEO;EXTREMADURA;441;;434114,14;4471339,29
25736;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;CARIDAD;3;;442663,6;4472594,74
