MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,20;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
207485;Situado Aparcabicicletas C.P LUIS DE GONGORA;08;FUENCARRAL-EL PARDO;084;EL PILAR;OPERATIVO;;CALLE;SARRIA;49;31054399;
3534863;Situado Aparcabicicletas INST. DEPORTIVA BÁSICA ARJONA;10;LATINA;103;LUCERO;OPERATIVO;;CALLE;CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;146;20086557;
3536124;Situado Aparcabicicletas PLAZA DE LA PRADERA DEL SALCERAL;08;FUENCARRAL-EL PARDO;087;MIRASIERRA;OPERATIVO;;AVENIDA;VENTISQUERO DE LA CONDESA;50;20088287;
3536170;Situado Aparcabicicletas CIUDAD DE LA RAQUETA;08;FUENCARRAL-EL PARDO;087;MIRASIERRA;OPERATIVO;;CALLE;MONASTERIO DE EL PAULAR;2;31041092;
227733;Situado Aparcabicicletas C.E.I.P. PRINCIPE DE ASTURIAS;08;FUENCARRAL-EL PARDO;088;EL GOLOSO;OPERATIVO;;CALLE;IVAN PAVLOV;2;31021306;
3538068;Situado Aparcabicicletas ESTACIÓN DE METRO LAS TABLAS;08;FUENCARRAL-EL PARDO;086;VALVERDE;OPERATIVO;;CALLE;TOQUES;11;31009168;
227813;Situado Aparcabicicletas FRENTE A LA PERGOLA;10;LATINA;106;CUATRO VIENTOS;OPERATIVO;;CALLE;TROMBONES;13;31036380;
3538189;Situado Aparcabicicletas PLAZA DEL CRISTO REY;09;MONCLOA-ARAVACA;093;CIUDAD UNIVERSITARIA;OPERATIVO;;PLAZA;CRISTO REY;5;31011243;
3538347;Situado Aparcabicicletas AECID AGENCIA ESPAÑOLA DE COOPERACIÓN;09;MONCLOA-ARAVACA;093;CIUDAD UNIVERSITARIA;OPERATIVO;;AVENIDA;REYES CATOLICOS;4;11053056;
232493;Situado Aparcabicicletas CENTRO DEPORTIVO MUNICIPAL LAS CRUCES;10;LATINA;107;LAS AGUILAS;OPERATIVO;;AVENIDA;POBLADOS;64;20092567;
233419;Situado Aparcabicicletas ESTACIÓN METRO/CERCANÍAS ALUCHE (Av/ de los Poblados 41);10;LATINA;104;ALUCHE;OPERATIVO;;AVENIDA;POBLADOS;41;31031861;
233967;Situado Aparcabicicletas I.E.S. BLAS DE OTERO;10;LATINA;104;ALUCHE;OPERATIVO;;CALLE;MAQUEDA;117;11065473;
3541340;Situado Aparcabicicletas COLONIA DE LA FUENTE DE LA TEJA;09;MONCLOA-ARAVACA;091;CASA DE CAMPO;OPERATIVO;;CALLE;SANTA POLA;13;11052007;
234642;Situado Aparcabicicletas COLEGIO GAMO DIANA;10;LATINA;104;ALUCHE;OPERATIVO;;CALLE;TEMBLEQUE;104;11065563;
3541341;Situado Aparcabicicletas COLONIA DE LA FUENTE DE LA TEJA;09;MONCLOA-ARAVACA;091;CASA DE CAMPO;OPERATIVO;;CALLE;SANTA POLA;20;11051978;
234830;Situado Aparcabicicletas AUDITORIO PARQUE ALUCHE;10;LATINA;104;ALUCHE;OPERATIVO;;CALLE;ILLESCAS;151;31050623;
3544153;Situado Aparcabicicletas COLEGIO PUBLICO LEOPOLDO CALVO SOTELO;08;FUENCARRAL-EL PARDO;086;VALVERDE;OPERATIVO;;AVENIDA;CAMINO DE SANTIAGO;25;31049645;
3544389;Situado Aparcabicicletas COLONIA DE LA FUENTE DE LA TEJA;09;MONCLOA-ARAVACA;091;CASA DE CAMPO;OPERATIVO;;CALLE;SANTA POLA;22;11051996;
3545445;Situado Aparcabicicletas URBANIZACIÓN LA BUGANVILLA;09;MONCLOA-ARAVACA;097;ARAVACA;OPERATIVO;;RONDA;BUGANVILLA DEL REY;1;20090795;
236539;Situado Aparcabicicletas C.P. LOS CÁRMENES;10;LATINA;101;LOS CARMENES;OPERATIVO;;CALLE;ALHAMBRA;102;11063760;
237510;Situado Aparcabicicletas C.P. AMADEO VIVES;10;LATINA;104;ALUCHE;OPERATIVO;;CALLE;VALMOJADO;61;11065308;
3551688;Situado Aparcabicicletas JUNTA MUNICIPAL FUENCARRAL EL PARDO;08;FUENCARRAL-EL PARDO;084;EL PILAR;OPERATIVO;;AVENIDA;MONFORTE DE LEMOS;40;11045934;
3553305;Situado Aparcabicicletas PUNTO LIMPIO LATINA;10;LATINA;101;LOS CARMENES;OPERATIVO;;CALLE;GALLUR;2;20019104;
186568;Situado Aparcabicicletas C.P. FERNÁNDEZ MORATÍN;09;MONCLOA-ARAVACA;091;CASA DE CAMPO;OPERATIVO;;AVENIDA;VALLADOLID;2;20016844;
193973;Situado Aparcabicicletas GLORIETA DE ROCÍO DURCAL;09;MONCLOA-ARAVACA;093;CIUDAD UNIVERSITARIA;OPERATIVO;;AVENIDA;PABLO IGLESIAS;93;11053471;
232054;Situado Aparcabicicletas CANCHAS DE FUTBOL SALA;10;LATINA;107;LAS AGUILAS;OPERATIVO;;CALLE;VIDAUBA;3;31045344;
4782433;-;12;USERA;127;PRADOLONGO;OPERATIVO;20/04/18;Calle de;Elisa Ochoa;;;
4782785;SITUADO_APARCABICICLETAS-COLEGIO PÚBLICO PAN BENDITO;11;CARABANCHEL;117;ABRANTES;OPERATIVO;25/04/18;CALLE;CAMINO VIEJO DE LEGANES;188;31009842;
4782787;SITUADO_APARCABICICLETAS- COLEGIO PÚBLICO CONCEPCIÓN ARENAL;11;CARABANCHEL;111;COMILLAS;OPERATIVO;25/04/18;CALLE;ANTONIO LOPEZ;1;11068914;
4782788;SITUADOS_APARCABICICLETAS-CALLE  VIA LUSITANA 1;11;CARABANCHEL;117;ABRANTES;OPERATIVO;25/04/18;CALLE;VIA LUSITANA;1;11078650;
4782833;SITUADO_APARCABICICLETAS;20;SAN BLAS-CANILLEJAS;207;CANILLEJAS;OPERATIVO;;CALLE;CIRCE;50;20043156;
4784552;SITUADO_APARACABICICLETAS-AVENIDA DE LOS ROSALES 121;17;VILLAVERDE;173;BUTARQUE;OPERATIVO;23/05/18;AVENIDA;LOS ROSALES;121;20176939;
4784618;-;12;USERA;125;MOSCARDO;OPERATIVO;24/05/18;Calle;San Zacarías;;;
4784681;Situado de Aparcabicicletas;20;SAN BLAS-CANILLEJAS;204;ARCOS;OPERATIVO;;PLAZA;ALSACIA;1;31051797;
4745561;Situado Aparcabicicletas TEATRO DE MADRID;08;FUENCARRAL-EL PARDO;084;EL PILAR;OPERATIVO;;PASEO;VAGUADA;11;20095215;
4795850;Situado Aparcabicicletas Colegio Pureza de María;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;LIRA;10;11011826;
4796490;-;17;VILLAVERDE;171;VILLAVERDE ALTO C.H.;OPERATIVO;27/07/18;Paseo;Plata y Castanar;;;
4796491;-;17;VILLAVERDE;171;VILLAVERDE ALTO C.H.;OPERATIVO;27/07/18;PASEO;PLATA Y CASTAÑAR;5;20177287;
4796651;Situado aparcabicicletas;15;CIUDAD LINEAL;156;SAN JUAN BAUTISTA;OPERATIVO;01/08/18;CALLE;ESTRECHO DE MESINA;1;11111443;
4797631;SITUADO APARCABICICLETAS;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;OPERATIVO;20/08/18;Calle de;Montes de Barbanza;;;
4985730;SITUADO APARCABICICLETAS - C/ VALLEHERMOSO Nº26;07;CHAMBERI;072;ARAPILES;OPERATIVO;20/11/18;;;;;
4987997;-;13;PUENTE DE VALLECAS;131;ENTREVIAS;OPERATIVO;03/12/18;RONDA;SUR;123;11089955;
4988193;Situado Aparcabicicletas PARQUE ANA TUTOR (C/V Avda. del Cardenal Herrera Oria);08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;OPERATIVO;;AVENIDA;VENTISQUERO DE LA CONDESA;2;20079569;
4988195;Situado Aparcabicicletas PARQUE ANA TUTOR (C/V C. Pinares Llanos);08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;OPERATIVO;;CALLE;VALLE DE PINARES LLANOS;1;20075089;
4990352;SITUADO APARCABICICLETAS - C/ CAVA ALTA Nº 6;01;CENTRO;011;PALACIO;OPERATIVO;;CALLE;CAVA ALTA;6;20003940;
4990372;SITUADO APARCABICICLETAS - C/ HERNÁN CORTÉS Nº23;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;HERNAN CORTES;23;11004874;
4990374;SITUADO APARCABICICLETAS  - C/ HERNÁN CORTÉS Nº15;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;HERNAN CORTES;15;11004878;
4990378;SITUADO APARCABICICLETAS - C/ HERNÁN CORTÉS Nº1;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;HERNAN CORTES;1;11004885;
4990382;SITUADO APARCABICICLETAS - C/ FARMACIA Nº16;01;CENTRO;014;JUSTICIA;OPERATIVO;30/07/18;CALLE;FARMACIA;16;20160608;
